Question,Answer,D1,D2,D3
1. What life process ensures a species will not disappear from the earth?,Reproduction is the life process that ensures a plant or animal species will not disappear from the earth.,Humans reproduce by cloning method.,Humans reproduce by spore formation method.,Humans reproduce by photosynthesis method.
2. What are the names of the reproductive processes involving two parents and one parent respectively?,"The reproductive process involving two parents is called sexual reproduction, while the reproductive process involving only one parent is called asexual reproduction.",Humans reproduce by baking method.,Humans reproduce by telepathic method.,Humans reproduce by spontaneous generation method.
3. Which animals reproduce sexually and which reproduce asexually?,Animals that reproduce sexually include humans and dogs. Animals that reproduce asexually include hydra and planaria.,Humans reproduce by spore formation method.,Humans reproduce by photosynthesis method.,Humans reproduce by teleportation method.
4. Do human beings reproduce by sexual or asexual methods?,Human beings reproduce by sexual methods.,Humans reproduce by spore formation.,Humans reproduce by budding.,Humans reproduce by fragmentation.
"5. What are two examples of animals that reproduce sexually and asexually, respectively?","Two examples of animals that reproduce sexually are humans and dogs, while two examples of animals that reproduce asexually are hydra and planaria.",Humans reproduce by cloning cells.,Humans reproduce by self-fertilization.,Humans reproduce by spore formation.
1. What is another term for a fertilized egg?,Zygote is another term for a fertilized egg.,Reproduction Cell,Developmental Egg,Offspring Cell
2. What is the process of the fusion of gametes called?,The process of the fusion of gametes is called fertilization.,Fission,Reproduction,Conjugation
3. Do all animals give birth like humans?,"No, not all animals give birth like humans. Some animals reproduce through methods other than giving birth to live young, such as laying eggs or undergoing asexual reproduction.","Yes, all animals give birth like humans.",Only fish give birth like humans.,Birds give birth in a similar way to humans.
4. What is the other name for sex cells?,The other name for sex cells is gametes.,Reproductive cells are another name for sex cells.,Sperm cells and egg cells are known as sex cells.,Fertilized cells are also referred to as sex cells.
5. Which organs in humans produce gametes?,Testes in males and ovaries in females are the organs in humans that produce gametes.,Kidneys in males and spleen in females are the organs that produce gametes.,Stomach in males and lungs in females are where gametes are produced.,Liver in males and pancreas in females are responsible for producing gametes.
1. What are the male gametes in humans called?,The testes in a man produce sperms.,The testes in a man produce antibodies,The testes in a man produce insulin,The testes in a man produce vitamin C
2. Name the organ that produces male gametes.,The testes in a man produce sperm.,The testes in a man produce oxygen.,The testes in a man produce milk.,The testes in a man produce energy.
3. What are the female gametes in humans called?,The testes in a man produce sperm.,The testes in a man produce honey,The testes in a man produce rainbows,The testes in a man produce musical notes
4. Name the organs that produce female gametes.,The testes in a man produce sperm.,The testes in a man produce hormones.,The testes in a man produce red blood cells.,The testes in a man produce digestive enzymes.
5. What do the testes in a man produce?,The testes in a man produce sperms.,The testes in a man produce chocolate pudding.,The testes in a man produce rainbow-colored ribbons.,The testes in a man produce magic beans.
1. What do the ovaries in a woman produce?,The ovaries in a woman produce eggs.,Ovaries in a woman produce hormones.,Ovaries in a woman produce blood cells.,Ovaries in a woman produce antibodies.
2. Which organ passes sperms from a man to a woman?,The penis is the organ that passes sperms from a man to a woman.,The bladder passes sperms from a man to a woman.,The gallbladder passes sperms from a man to a woman.,The stomach passes sperms from a man to a woman.
3. Where does the embryo get embedded in the female reproductive system?,The embryo gets embedded in the wall of the uterus for further development.,The embryo gets embedded in the fallopian tube.,The embryo gets embedded in the ovary.,The embryo gets embedded in the cervix.
4. Which comes earlier in the development of a human baby: fetus or embryo?,Embryo stage comes earlier in the development of a human baby than the fetus stage.,Fetus stage comes earlier in the development of a human baby.,Zygote stage comes earlier in the development of a human baby.,Newborn stage comes earlier in the development of a human baby.
5. What technique is used to help a woman with blocked oviducts to have a baby?,In Vitro Fertilization is the technique used to help a woman with blocked oviducts to have a baby.,Blocked Oviduct Reversal Surgery,Hormonal Therapy for Oviduct Blockage,Oviduct Cleansing Procedure
1. How successful is the IVF technique in human reproduction?,Binary fission takes place in Amoeba.,Sexual fission takes place in Amoeba.,Binary fission takes place in Amoeba.,Fragmentation fission takes place in Amoeba.
2. What kind of fertilization occurs in hens?,Binary fission takes place in Amoeba.,Sexual fission takes place in Amoeba.,Reverse fission takes place in Amoeba.,Asexual fission takes place in Amoeba.
3. What is the term for the transformation from tadpole to frog?,Binary fission takes place in Amoeba.,Binary fission takes place in Amoeba.,Sexual fission takes place in Amoeba.,Mitotic fission takes place in Amoeba.
4. Which animals produce embryos that grow into larvae before becoming adults?,Frog and silk moth are animals that produce embryos that grow into larvae before transforming into adults.,Binary fission takes place in Amoeba.,Sexual fission takes place in Amoeba.,Fragmentation fission takes place in Amoeba.
5. What term is used for the bulges on the sides of a Hydra's body?,"Bulges observed on the sides of the body of Hydra are termed as buds, and they develop into a new individual.",Split fission,Binary fission,Multiple fission
1. Name one animal that reproduces by budding.,One animal that reproduces by budding is Hydra.,A duck,Tiger,Penguin
2. What is the asexual method of reproduction in Hydra?,The asexual method of reproduction in Hydra is budding.,Mitosis,Fragmentation,Parthenogenesis
3. What technique was used in producing 'Dolly' the sheep?,The technique used in producing 'Dolly' the sheep was cloning.,The technique used in producing 'Dolly' the sheep was gene editing.,'Dolly' the sheep was produced using artificial insemination.,'Dolly' the sheep was created through selective breeding.
4. Who was the parent sheep of which Dolly was a clone?,The parent sheep of which Dolly was a clone was Finn Dorsett Sheep.,Mary Had a Little Lamb Sheep,Little Bo Peep Sheep,Black Sheep
5. What is an animal called that is an exact copy of its parents?,An animal that is an exact copy of its parents is called a clone.,Transgenic organism,Hybrid species,Mutant creature
1. Is each sperm a single cell?,(a) True,"No, each sperm is actually a colony of multiple cells working together.",Sperm can vary in size and may contain more than one cell.,Sperm cells are actually specialized structures made up of multiple smaller cells.
2. Does a new human individual develop from gametes?,True,"No, a new human individual actually develops from a magical substance called ""glitter.""","Actually, gametes are responsible for producing new animal species, not humans.",New human individuals develop from a special type of stardust rather than gametes.
3. Is a zygote formed as a result of fertilization?,True.,"No, a zygote is formed through a process called photosynthesis.","Actually, a zygote is formed due to the phase changes in matter.",It is not fertilization but mutation that leads to the formation of a zygote.
4. Does external fertilization occur in frogs?,"Yes, external fertilization does occur in frogs.","No, external fertilization does not occur in frogs.","External fertilization is only seen in mammals, not in frogs.","Frogs exclusively rely on internal fertilization, not external fertilization."
5. Does Amoeba reproduce by budding?,"No, Amoeba does not reproduce by budding. It reproduces through a process called binary fission, which is a common method of asexual reproduction where the parent organism divides into two genetically identical daughter cells.","Yes, Amoeba reproduces by budding, just like plants do.","No, Amoeba reproduces by laying eggs instead of budding.","Amoeba reproduces by spore formation, not by budding."
1. Is fertilization necessary in asexual reproduction?,(a) The process of fertilization ensures continuity of life on earth.,"Yes, fertilization is necessary because it helps plants absorb more sunlight for asexual reproduction.","No, fertilization is not necessary in asexual reproduction because it only involves cell division.",Fertilization is needed in asexual reproduction to increase genetic diversity and adaptability.
2. Is cloning a sexual reproduction method in mammals?,(m) False,"Yes, cloning is a common method of sexual reproduction in some mammals.","No, cloning involves the combination of genetic material from two individuals.","True, cloning is considered a form of asexual reproduction in mammals."
3. What ensures continuity of life on earth?,(a) The process of fertilization ensures continuity of life on earth.,Photosynthesis ensures continuity of life on earth.,Hibernation ensures continuity of life on earth.,Migration ensures continuity of life on earth.
4. What are the cells involved in sexual reproduction called?,The cells involved in sexual reproduction are called gametes.,Prokaryotic cells,Mitochondrial cells,Red blood cells
5. What is the other name for an egg cell?,The other name for an egg cell is ovum.,Ovum,Reproductive sphere,Oocyte
1. What is the larva of a frog called?,The larva of a frog is called tadpole.,Tadpole,Pollywog,Froglet
